id;area;year;average_salary
1;MA£OPOLSKIE;2002;2060.99
2;MA£OPOLSKIE;2003;2109.69
3;MA£OPOLSKIE;2004;2216.21
4;MA£OPOLSKIE;2005;2303.42
5;MA£OPOLSKIE;2006;2443.91
6;MA£OPOLSKIE;2007;2666.24
7;MA£OPOLSKIE;2008;2903.63
8;MA£OPOLSKIE;2009;3057.71
9;MA£OPOLSKIE;2010;3169.9
10;MA£OPOLSKIE;2011;3332.98
11;MA£OPOLSKIE;2012;3456.16
12;MA£OPOLSKIE;2013;3574.22
13;MA£OPOLSKIE;2014;3700.06
14;MA£OPOLSKIE;2015;3906.96
15;MA£OPOLSKIE;2016;4077.91
16;MA£OPOLSKIE;2017;4347.1
17;MA£OPOLSKIE;2018;4678.95
18;MA£OPOLSKIE;2019;5098.26
19;MA£OPOLSKIE;2020;5536.07
20;ŒL¥SKIE;2002;2298.44
21;ŒL¥SKIE;2003;2380.23
22;ŒL¥SKIE;2004;2488.62
23;ŒL¥SKIE;2005;2587.07
24;ŒL¥SKIE;2006;2729.63
25;ŒL¥SKIE;2007;2933.32
26;ŒL¥SKIE;2008;3239.09
27;ŒL¥SKIE;2009;3405.18
28;ŒL¥SKIE;2010;3528.19
29;ŒL¥SKIE;2011;3794.62
30;ŒL¥SKIE;2012;3855.26
31;ŒL¥SKIE;2013;4022.8
32;ŒL¥SKIE;2014;4100.51
33;ŒL¥SKIE;2015;4221.45
34;ŒL¥SKIE;2016;4295.29
35;ŒL¥SKIE;2017;4481.57
36;ŒL¥SKIE;2018;4825.28
37;ŒL¥SKIE;2019;5177.86
38;ŒL¥SKIE;2020;5450.86
39;LUBUSKIE;2002;1936.54
40;LUBUSKIE;2003;1990.13
41;LUBUSKIE;2004;2067.56
42;LUBUSKIE;2005;2144.35
43;LUBUSKIE;2006;2235.01
44;LUBUSKIE;2007;2429.97
45;LUBUSKIE;2008;2653.55
46;LUBUSKIE;2009;2802.77
47;LUBUSKIE;2010;2920.43
48;LUBUSKIE;2011;3073.95
49;LUBUSKIE;2012;3203.18
50;LUBUSKIE;2013;3282.07
51;LUBUSKIE;2014;3425.38
52;LUBUSKIE;2015;3567.6
53;LUBUSKIE;2016;3734.9
54;LUBUSKIE;2017;3950.95
55;LUBUSKIE;2018;4239.92
56;LUBUSKIE;2019;4559.96
57;LUBUSKIE;2020;4832.07
58;WIELKOPOLSKIE;2002;2047.58
59;WIELKOPOLSKIE;2003;2129.03
60;WIELKOPOLSKIE;2004;2204.31
61;WIELKOPOLSKIE;2005;2263.6
62;WIELKOPOLSKIE;2006;2389.0
63;WIELKOPOLSKIE;2007;2610.82
64;WIELKOPOLSKIE;2008;2868.81
65;WIELKOPOLSKIE;2009;2976.28
