id;area;year;criminals
1;MA£OPOLSKIE;2002;86681
2;MA£OPOLSKIE;2003;93690
3;MA£OPOLSKIE;2004;98313
4;MA£OPOLSKIE;2005;89200
5;MA£OPOLSKIE;2006;79334
6;MA£OPOLSKIE;2007;64116
7;MA£OPOLSKIE;2008;59630
8;MA£OPOLSKIE;2009;62488
9;MA£OPOLSKIE;2010;68200
10;MA£OPOLSKIE;2011;72693
11;MA£OPOLSKIE;2012;72561
12;MA£OPOLSKIE;2013;62677
13;MA£OPOLSKIE;2014;51429
14;MA£OPOLSKIE;2015;45155
15;MA£OPOLSKIE;2016;44407
16;MA£OPOLSKIE;2017;43978
17;MA£OPOLSKIE;2018;42014
18;MA£OPOLSKIE;2019;41898
19;MA£OPOLSKIE;2020;37520
20;ŒL¥SKIE;2002;153170
21;ŒL¥SKIE;2003;159795
22;ŒL¥SKIE;2004;161178
23;ŒL¥SKIE;2005;151335
24;ŒL¥SKIE;2006;137133
25;ŒL¥SKIE;2007;124700
26;ŒL¥SKIE;2008;113914
27;ŒL¥SKIE;2009;117557
28;ŒL¥SKIE;2010;120831
29;ŒL¥SKIE;2011;123660
30;ŒL¥SKIE;2012;118852
31;ŒL¥SKIE;2013;109250
32;ŒL¥SKIE;2014;83362
33;ŒL¥SKIE;2015;72213
34;ŒL¥SKIE;2016;65357
35;ŒL¥SKIE;2017;63443
36;ŒL¥SKIE;2018;67639
37;ŒL¥SKIE;2019;66798
38;ŒL¥SKIE;2020;61635
39;LUBUSKIE;2002;30616
40;LUBUSKIE;2003;30500
41;LUBUSKIE;2004;28910
42;LUBUSKIE;2005;26141
43;LUBUSKIE;2006;24840
44;LUBUSKIE;2007;23952
45;LUBUSKIE;2008;22323
46;LUBUSKIE;2009;22182
47;LUBUSKIE;2010;24454
48;LUBUSKIE;2011;25236
49;LUBUSKIE;2012;25539
50;LUBUSKIE;2013;25082
51;LUBUSKIE;2014;18615
52;LUBUSKIE;2015;16441
53;LUBUSKIE;2016;15426
54;LUBUSKIE;2017;14752
55;LUBUSKIE;2018;17024
56;LUBUSKIE;2019;17504
57;LUBUSKIE;2020;16315
58;WIELKOPOLSKIE;2002;89113
59;WIELKOPOLSKIE;2003;89249
60;WIELKOPOLSKIE;2004;82742
61;WIELKOPOLSKIE;2005;80653
62;WIELKOPOLSKIE;2006;70638
63;WIELKOPOLSKIE;2007;62072
64;WIELKOPOLSKIE;2008;61851
65;WIELKOPOLSKIE;2009;66610
66;WIELKOPOLSKIE;2010;66201
67;WIELKOPOLSKIE;2011;68017
68;WIELKOPOLSKIE;2012;64477
69;WIELKOPOLSKIE;2013;62974
70;WIELKOPOLSKIE;2014;48974
71;WIELKOPOLSKIE;2015;42961
72;WIELKOPOLSKIE;2016;38234
73;WIELKOPOLSKIE;2017;34616
74;WIELKOPOLSKIE;2018;37447
75;WIELKOPOLSKIE;2019;39073
76;WIELKOPOLSKIE;2020;35870
77;ZACHODNIOPOMORSKIE;2002;60234
78;ZACHODNIOPOMORSKIE;2003;55768
79;ZACHODNIOPOMORSKIE;2004;53907
80;ZACHODNIOPOMORSKIE;2005;51088
