id;area;year;deaths
1;MA£OPOLSKIE;2000;5427
2;MA£OPOLSKIE;2001;5237
3;MA£OPOLSKIE;2002;5286
4;MA£OPOLSKIE;2003;4973
5;MA£OPOLSKIE;2004;4882
6;MA£OPOLSKIE;2005;4437
7;MA£OPOLSKIE;2006;4440
8;MA£OPOLSKIE;2007;4720
9;MA£OPOLSKIE;2008;4677
10;MA£OPOLSKIE;2009;4418
11;MA£OPOLSKIE;2010;4003
12;MA£OPOLSKIE;2011;4368
13;MA£OPOLSKIE;2012;3903
14;MA£OPOLSKIE;2013;3764
15;MA£OPOLSKIE;2014;3936
16;MA£OPOLSKIE;2015;3839
17;MA£OPOLSKIE;2016;3939
18;MA£OPOLSKIE;2017;3612
19;MA£OPOLSKIE;2018;3404
20;MA£OPOLSKIE;2019;3136
21;MA£OPOLSKIE;2020;2265
22;ŒL¥SKIE;2000;6898
23;ŒL¥SKIE;2001;6496
24;ŒL¥SKIE;2002;6421
25;ŒL¥SKIE;2003;6379
26;ŒL¥SKIE;2004;7046
27;ŒL¥SKIE;2005;6355
28;ŒL¥SKIE;2006;6179
29;ŒL¥SKIE;2007;6320
30;ŒL¥SKIE;2008;5903
31;ŒL¥SKIE;2009;5565
32;ŒL¥SKIE;2010;5015
33;ŒL¥SKIE;2011;5041
34;ŒL¥SKIE;2012;4683
35;ŒL¥SKIE;2013;4529
36;ŒL¥SKIE;2014;4360
37;ŒL¥SKIE;2015;3792
38;ŒL¥SKIE;2016;3650
39;ŒL¥SKIE;2017;3502
40;ŒL¥SKIE;2018;3222
41;ŒL¥SKIE;2019;2965
42;ŒL¥SKIE;2020;2383
43;LUBUSKIE;2000;950
44;LUBUSKIE;2001;801
45;LUBUSKIE;2002;799
46;LUBUSKIE;2003;788
47;LUBUSKIE;2004;847
48;LUBUSKIE;2005;860
49;LUBUSKIE;2006;835
50;LUBUSKIE;2007;908
51;LUBUSKIE;2008;906
52;LUBUSKIE;2009;992
53;LUBUSKIE;2010;845
54;LUBUSKIE;2011;823
55;LUBUSKIE;2012;803
56;LUBUSKIE;2013;747
57;LUBUSKIE;2014;717
58;LUBUSKIE;2015;639
59;LUBUSKIE;2016;684
60;LUBUSKIE;2017;682
61;LUBUSKIE;2018;663
62;LUBUSKIE;2019;660
63;LUBUSKIE;2020;607
64;WIELKOPOLSKIE;2000;5803
