id;area;year;inflation_rate
1;MA£OPOLSKIE;2003;101.0
2;MA£OPOLSKIE;2004;103.8
3;MA£OPOLSKIE;2005;102.2
4;MA£OPOLSKIE;2006;101.1
5;MA£OPOLSKIE;2007;102.4
6;MA£OPOLSKIE;2008;104.3
7;MA£OPOLSKIE;2009;103.5
8;MA£OPOLSKIE;2010;102.6
9;MA£OPOLSKIE;2011;104.3
10;MA£OPOLSKIE;2012;103.6
11;MA£OPOLSKIE;2013;100.8
12;MA£OPOLSKIE;2014;99.9
13;MA£OPOLSKIE;2015;99.2
14;MA£OPOLSKIE;2016;99.6
15;MA£OPOLSKIE;2017;102.1
16;MA£OPOLSKIE;2018;102.2
17;MA£OPOLSKIE;2019;102.9
18;MA£OPOLSKIE;2020;104.3
19;ŒL¥SKIE;2003;100.7
20;ŒL¥SKIE;2004;103.2
21;ŒL¥SKIE;2005;101.7
22;ŒL¥SKIE;2006;100.8
23;ŒL¥SKIE;2007;102.2
24;ŒL¥SKIE;2008;103.9
25;ŒL¥SKIE;2009;103.9
26;ŒL¥SKIE;2010;102.4
27;ŒL¥SKIE;2011;103.7
28;ŒL¥SKIE;2012;103.3
29;ŒL¥SKIE;2013;100.8
30;ŒL¥SKIE;2014;99.9
31;ŒL¥SKIE;2015;98.8
32;ŒL¥SKIE;2016;99.2
33;ŒL¥SKIE;2017;101.9
34;ŒL¥SKIE;2018;101.3
35;ŒL¥SKIE;2019;101.9
36;ŒL¥SKIE;2020;103.6
37;LUBUSKIE;2003;101.0
38;LUBUSKIE;2004;103.6
39;LUBUSKIE;2005;102.3
40;LUBUSKIE;2006;101.1
41;LUBUSKIE;2007;102.9
42;LUBUSKIE;2008;104.2
43;LUBUSKIE;2009;103.4
44;LUBUSKIE;2010;102.8
45;LUBUSKIE;2011;104.1
46;LUBUSKIE;2012;103.8
47;LUBUSKIE;2013;101.3
48;LUBUSKIE;2014;100.5
49;LUBUSKIE;2015;99.6
50;LUBUSKIE;2016;99.8
51;LUBUSKIE;2017;102.2
52;LUBUSKIE;2018;102.0
53;LUBUSKIE;2019;102.5
54;LUBUSKIE;2020;103.0
55;WIELKOPOLSKIE;2003;100.9
56;WIELKOPOLSKIE;2004;103.6
57;WIELKOPOLSKIE;2005;102.1
58;WIELKOPOLSKIE;2006;100.7
59;WIELKOPOLSKIE;2007;102.4
60;WIELKOPOLSKIE;2008;104.7
61;WIELKOPOLSKIE;2009;103.6
62;WIELKOPOLSKIE;2010;102.8
63;WIELKOPOLSKIE;2011;104.7
64;WIELKOPOLSKIE;2012;104.0
65;WIELKOPOLSKIE;2013;101.1
66;WIELKOPOLSKIE;2014;100.2
67;WIELKOPOLSKIE;2015;98.9
68;WIELKOPOLSKIE;2016;99.4
69;WIELKOPOLSKIE;2017;102.3
70;WIELKOPOLSKIE;2018;101.8
71;WIELKOPOLSKIE;2019;102.6
72;WIELKOPOLSKIE;2020;103.5
73;ZACHODNIOPOMORSKIE;2003;100.8
74;ZACHODNIOPOMORSKIE;2004;103.4
75;ZACHODNIOPOMORSKIE;2005;101.8
76;ZACHODNIOPOMORSKIE;2006;100.9
77;ZACHODNIOPOMORSKIE;2007;102.4
78;ZACHODNIOPOMORSKIE;2008;104.2
79;ZACHODNIOPOMORSKIE;2009;103.7
80;ZACHODNIOPOMORSKIE;2010;102.7
81;ZACHODNIOPOMORSKIE;2011;104.3
82;ZACHODNIOPOMORSKIE;2012;103.7
83;ZACHODNIOPOMORSKIE;2013;100.9
84;ZACHODNIOPOMORSKIE;2014;100.3
85;ZACHODNIOPOMORSKIE;2015;99.7
86;ZACHODNIOPOMORSKIE;2016;99.1
87;ZACHODNIOPOMORSKIE;2017;101.4
88;ZACHODNIOPOMORSKIE;2018;101.4
89;ZACHODNIOPOMORSKIE;2019;102.3
90;ZACHODNIOPOMORSKIE;2020;103.6
91;DOLNOŒL¥SKIE;2003;101.0
92;DOLNOŒL¥SKIE;2004;103.4
93;DOLNOŒL¥SKIE;2005;102.2
94;DOLNOŒL¥SKIE;2006;101.2
95;DOLNOŒL¥SKIE;2007;102.8
96;DOLNOŒL¥SKIE;2008;104.8
97;DOLNOŒL¥SKIE;2009;104.0
98;DOLNOŒL¥SKIE;2010;102.9
99;DOLNOŒL¥SKIE;2011;104.6
100;DOLNOŒL¥SKIE;2012;103.7
101;DOLNOŒL¥SKIE;2013;100.9
102;DOLNOŒL¥SKIE;2014;100.0
103;DOLNOŒL¥SKIE;2015;99.2
104;DOLNOŒL¥SKIE;2016;99.3
105;DOLNOŒL¥SKIE;2017;101.9
106;DOLNOŒL¥SKIE;2018;101.2
107;DOLNOŒL¥SKIE;2019;102.1
108;DOLNOŒL¥SKIE;2020;103.1
109;OPOLSKIE;2003;100.7
110;OPOLSKIE;2004;103.7
111;OPOLSKIE;2005;102.2
112;OPOLSKIE;2006;101.2
113;OPOLSKIE;2007;102.6
114;OPOLSKIE;2008;104.4
115;OPOLSKIE;2009;103.5
116;OPOLSKIE;2010;102.8
117;OPOLSKIE;2011;104.4
118;OPOLSKIE;2012;103.7
119;OPOLSKIE;2013;100.7
120;OPOLSKIE;2014;99.7
121;OPOLSKIE;2015;98.9
122;OPOLSKIE;2016;99.4
123;OPOLSKIE;2017;102.2
124;OPOLSKIE;2018;101.7
125;OPOLSKIE;2019;102.3
126;OPOLSKIE;2020;103.1
127;KUJAWSKO-POMORSKIE;2003;100.5
128;KUJAWSKO-POMORSKIE;2004;103.6
129;KUJAWSKO-POMORSKIE;2005;102.0
130;KUJAWSKO-POMORSKIE;2006;100.9
131;KUJAWSKO-POMORSKIE;2007;102.3
132;KUJAWSKO-POMORSKIE;2008;104.4
133;KUJAWSKO-POMORSKIE;2009;103.3
134;KUJAWSKO-POMORSKIE;2010;102.6
135;KUJAWSKO-POMORSKIE;2011;104.6
136;KUJAWSKO-POMORSKIE;2012;103.7
137;KUJAWSKO-POMORSKIE;2013;101.1
138;KUJAWSKO-POMORSKIE;2014;99.8
139;KUJAWSKO-POMORSKIE;2015;99.1
140;KUJAWSKO-POMORSKIE;2016;99.5
141;KUJAWSKO-POMORSKIE;2017;102.0
142;KUJAWSKO-POMORSKIE;2018;101.6
143;KUJAWSKO-POMORSKIE;2019;102.3
144;KUJAWSKO-POMORSKIE;2020;103.6
145;POMORSKIE;2003;100.8
146;POMORSKIE;2004;103.2
147;POMORSKIE;2005;101.7
148;POMORSKIE;2006;100.7
149;POMORSKIE;2007;102.3
150;POMORSKIE;2008;103.9
151;POMORSKIE;2009;102.4
152;POMORSKIE;2010;102.6
153;POMORSKIE;2011;104.1
154;POMORSKIE;2012;103.4
155;POMORSKIE;2013;100.9
