id;area;year;new_cars
1;MA£OPOLSKIE;2010;4453
2;MA£OPOLSKIE;2011;5425
3;MA£OPOLSKIE;2012;6401
4;MA£OPOLSKIE;2013;6369
5;MA£OPOLSKIE;2014;4776
6;MA£OPOLSKIE;2015;7610
7;MA£OPOLSKIE;2016;9341
8;MA£OPOLSKIE;2017;10664
9;MA£OPOLSKIE;2018;12361
10;MA£OPOLSKIE;2019;12425
11;MA£OPOLSKIE;2020;9356
12;MA£OPOLSKIE;2021;10641
13;ŒL¥SKIE;2010;9302
14;ŒL¥SKIE;2011;10564
15;ŒL¥SKIE;2012;11831
16;ŒL¥SKIE;2013;12022
17;ŒL¥SKIE;2014;8567
18;ŒL¥SKIE;2015;13482
19;ŒL¥SKIE;2016;14765
20;ŒL¥SKIE;2017;17804
21;ŒL¥SKIE;2018;19625
22;ŒL¥SKIE;2019;19484
23;ŒL¥SKIE;2020;13331
24;ŒL¥SKIE;2021;15407
25;LUBUSKIE;2010;775
26;LUBUSKIE;2011;996
27;LUBUSKIE;2012;1273
28;LUBUSKIE;2013;1236
29;LUBUSKIE;2014;946
30;LUBUSKIE;2015;1536
31;LUBUSKIE;2016;1605
32;LUBUSKIE;2017;2219
33;LUBUSKIE;2018;2381
34;LUBUSKIE;2019;2418
35;LUBUSKIE;2020;1901
36;LUBUSKIE;2021;2171
37;WIELKOPOLSKIE;2010;5368
38;WIELKOPOLSKIE;2011;6077
39;WIELKOPOLSKIE;2012;7185
40;WIELKOPOLSKIE;2013;7427
41;WIELKOPOLSKIE;2014;5045
42;WIELKOPOLSKIE;2015;8611
43;WIELKOPOLSKIE;2016;10341
44;WIELKOPOLSKIE;2017;12352
45;WIELKOPOLSKIE;2018;14260
46;WIELKOPOLSKIE;2019;14575
47;WIELKOPOLSKIE;2020;10829
48;WIELKOPOLSKIE;2021;12901
49;ZACHODNIOPOMORSKIE;2010;1600
50;ZACHODNIOPOMORSKIE;2011;1930
51;ZACHODNIOPOMORSKIE;2012;2143
52;ZACHODNIOPOMORSKIE;2013;2117
53;ZACHODNIOPOMORSKIE;2014;1634
54;ZACHODNIOPOMORSKIE;2015;2673
55;ZACHODNIOPOMORSKIE;2016;3148
56;ZACHODNIOPOMORSKIE;2017;3523
57;ZACHODNIOPOMORSKIE;2018;3821
58;ZACHODNIOPOMORSKIE;2019;3902
59;ZACHODNIOPOMORSKIE;2020;3157
60;ZACHODNIOPOMORSKIE;2021;3199
61;DOLNOŒL¥SKIE;2010;3537
62;DOLNOŒL¥SKIE;2011;4537
63;DOLNOŒL¥SKIE;2012;5120
64;DOLNOŒL¥SKIE;2013;5056
65;DOLNOŒL¥SKIE;2014;3561
66;DOLNOŒL¥SKIE;2015;6543
67;DOLNOŒL¥SKIE;2016;8317
68;DOLNOŒL¥SKIE;2017;9788
69;DOLNOŒL¥SKIE;2018;10631
70;DOLNOŒL¥SKIE;2019;11102
71;DOLNOŒL¥SKIE;2020;8671
72;DOLNOŒL¥SKIE;2021;10147
73;OPOLSKIE;2010;1072
74;OPOLSKIE;2011;1300
75;OPOLSKIE;2012;1666
76;OPOLSKIE;2013;1488
77;OPOLSKIE;2014;1026
78;OPOLSKIE;2015;1643
79;OPOLSKIE;2016;1878
80;OPOLSKIE;2017;2045
81;OPOLSKIE;2018;2280
82;OPOLSKIE;2019;2399
83;OPOLSKIE;2020;1686
84;OPOLSKIE;2021;1729
85;KUJAWSKO-POMORSKIE;2010;2022
86;KUJAWSKO-POMORSKIE;2011;2618
87;KUJAWSKO-POMORSKIE;2012;2881
88;KUJAWSKO-POMORSKIE;2013;2674
89;KUJAWSKO-POMORSKIE;2014;1825
90;KUJAWSKO-POMORSKIE;2015;3350
91;KUJAWSKO-POMORSKIE;2016;3629
92;KUJAWSKO-POMORSKIE;2017;4054
93;KUJAWSKO-POMORSKIE;2018;4675
94;KUJAWSKO-POMORSKIE;2019;4680
