id;area;year;number_of_people
1;MA£OPOLSKIE;1995;3190186
2;MA£OPOLSKIE;1996;3197064
3;MA£OPOLSKIE;1997;3206630
4;MA£OPOLSKIE;1998;3215885
5;MA£OPOLSKIE;1999;3217865
6;MA£OPOLSKIE;2000;3229139
7;MA£OPOLSKIE;2001;3236268
8;MA£OPOLSKIE;2002;3237217
9;MA£OPOLSKIE;2003;3252949
10;MA£OPOLSKIE;2004;3260201
11;MA£OPOLSKIE;2005;3266187
12;MA£OPOLSKIE;2006;3271206
13;MA£OPOLSKIE;2007;3279036
14;MA£OPOLSKIE;2008;3287136
15;MA£OPOLSKIE;2009;3298270
16;MA£OPOLSKIE;2010;3336699
17;MA£OPOLSKIE;2011;3346796
18;MA£OPOLSKIE;2012;3354077
19;MA£OPOLSKIE;2013;3360581
20;MA£OPOLSKIE;2014;3368336
21;MA£OPOLSKIE;2015;3372618
22;MA£OPOLSKIE;2016;3382260
23;MA£OPOLSKIE;2017;3391380
24;MA£OPOLSKIE;2018;3400577
25;MA£OPOLSKIE;2019;3410901
26;MA£OPOLSKIE;2020;3410441
27;ŒL¥SKIE;1995;4907930
28;ŒL¥SKIE;1996;4902913
29;ŒL¥SKIE;1997;4894230
30;ŒL¥SKIE;1998;4882448
31;ŒL¥SKIE;1999;4776856
32;ŒL¥SKIE;2000;4758944
33;ŒL¥SKIE;2001;4741816
34;ŒL¥SKIE;2002;4731533
35;ŒL¥SKIE;2003;4714982
36;ŒL¥SKIE;2004;4700771
37;ŒL¥SKIE;2005;4685775
38;ŒL¥SKIE;2006;4669137
39;ŒL¥SKIE;2007;4654115
40;ŒL¥SKIE;2008;4645665
41;ŒL¥SKIE;2009;4640725
42;ŒL¥SKIE;2010;4634935
43;ŒL¥SKIE;2011;4626357
44;ŒL¥SKIE;2012;4615870
45;ŒL¥SKIE;2013;4599447
46;ŒL¥SKIE;2014;4585924
47;ŒL¥SKIE;2015;4570849
48;ŒL¥SKIE;2016;4559164
49;ŒL¥SKIE;2017;4548180
50;ŒL¥SKIE;2018;4533565
51;ŒL¥SKIE;2019;4517635
52;ŒL¥SKIE;2020;4492330
53;LUBUSKIE;1995;1014591
54;LUBUSKIE;1996;1017596
55;LUBUSKIE;1997;1020345
56;LUBUSKIE;1998;1022521
57;LUBUSKIE;1999;1007967
58;LUBUSKIE;2000;1008472
59;LUBUSKIE;2001;1008983
60;LUBUSKIE;2002;1008196
61;LUBUSKIE;2003;1008786
62;LUBUSKIE;2004;1009168
63;LUBUSKIE;2005;1009198
64;LUBUSKIE;2006;1008520
65;LUBUSKIE;2007;1008481
66;LUBUSKIE;2008;1008962
67;LUBUSKIE;2009;1010047
68;LUBUSKIE;2010;1023215
69;LUBUSKIE;2011;1023158
70;LUBUSKIE;2012;1023317
71;LUBUSKIE;2013;1021470
72;LUBUSKIE;2014;1020307
73;LUBUSKIE;2015;1018075
74;LUBUSKIE;2016;1017376
75;LUBUSKIE;2017;1016832
76;LUBUSKIE;2018;1014548
77;LUBUSKIE;2019;1011592
78;LUBUSKIE;2020;1007145
79;WIELKOPOLSKIE;1995;3331941
80;WIELKOPOLSKIE;1996;3339757
81;WIELKOPOLSKIE;1997;3346045
82;WIELKOPOLSKIE;1998;3351422
83;WIELKOPOLSKIE;1999;3339749
84;WIELKOPOLSKIE;2000;3345316
85;WIELKOPOLSKIE;2001;3350437
86;WIELKOPOLSKIE;2002;3355279
87;WIELKOPOLSKIE;2003;3359932
88;WIELKOPOLSKIE;2004;3365283
89;WIELKOPOLSKIE;2005;3372417
90;WIELKOPOLSKIE;2006;3378502
91;WIELKOPOLSKIE;2007;3386882
92;WIELKOPOLSKIE;2008;3397617
93;WIELKOPOLSKIE;2009;3408281
94;WIELKOPOLSKIE;2010;3446745
95;WIELKOPOLSKIE;2011;3455477
96;WIELKOPOLSKIE;2012;3462196
97;WIELKOPOLSKIE;2013;3467016
98;WIELKOPOLSKIE;2014;3472579
99;WIELKOPOLSKIE;2015;3475323
100;WIELKOPOLSKIE;2016;3481625
101;WIELKOPOLSKIE;2017;3489210
102;WIELKOPOLSKIE;2018;3493969
103;WIELKOPOLSKIE;2019;3498733
104;WIELKOPOLSKIE;2020;3496450
105;ZACHODNIOPOMORSKIE;1995;1720782
106;ZACHODNIOPOMORSKIE;1996;1725756
107;ZACHODNIOPOMORSKIE;1997;1729848
108;ZACHODNIOPOMORSKIE;1998;1731804
109;ZACHODNIOPOMORSKIE;1999;1696925
110;ZACHODNIOPOMORSKIE;2000;1697935
111;ZACHODNIOPOMORSKIE;2001;1698402
112;ZACHODNIOPOMORSKIE;2002;1697718
113;ZACHODNIOPOMORSKIE;2003;1696073
114;ZACHODNIOPOMORSKIE;2004;1694865
115;ZACHODNIOPOMORSKIE;2005;1694178
116;ZACHODNIOPOMORSKIE;2006;1692838
117;ZACHODNIOPOMORSKIE;2007;1692271
118;ZACHODNIOPOMORSKIE;2008;1692957
119;ZACHODNIOPOMORSKIE;2009;1693198
120;ZACHODNIOPOMORSKIE;2010;1723741
121;ZACHODNIOPOMORSKIE;2011;1722739
122;ZACHODNIOPOMORSKIE;2012;1721405
123;ZACHODNIOPOMORSKIE;2013;1718861
124;ZACHODNIOPOMORSKIE;2014;1715431
125;ZACHODNIOPOMORSKIE;2015;1710482
126;ZACHODNIOPOMORSKIE;2016;1708174
127;ZACHODNIOPOMORSKIE;2017;1705533
128;ZACHODNIOPOMORSKIE;2018;1701030
129;ZACHODNIOPOMORSKIE;2019;1696193
130;ZACHODNIOPOMORSKIE;2020;1688047
131;DOLNOŒL¥SKIE;1995;2988278
132;DOLNOŒL¥SKIE;1996;2986884
133;DOLNOŒL¥SKIE;1997;2985381
134;DOLNOŒL¥SKIE;1998;2982128
135;DOLNOŒL¥SKIE;1999;2917139
136;DOLNOŒL¥SKIE;2000;2912195
137;DOLNOŒL¥SKIE;2001;2909622
138;DOLNOŒL¥SKIE;2002;2904694
139;DOLNOŒL¥SKIE;2003;2898313
140;DOLNOŒL¥SKIE;2004;2893055
141;DOLNOŒL¥SKIE;2005;2888232
142;DOLNOŒL¥SKIE;2006;2882317
143;DOLNOŒL¥SKIE;2007;2878410
144;DOLNOŒL¥SKIE;2008;2877059
145;DOLNOŒL¥SKIE;2009;2876627
146;DOLNOŒL¥SKIE;2010;2917242
147;DOLNOŒL¥SKIE;2011;2916577
148;DOLNOŒL¥SKIE;2012;2914362
149;DOLNOŒL¥SKIE;2013;2909997
150;DOLNOŒL¥SKIE;2014;2908457
151;DOLNOŒL¥SKIE;2015;2904207
152;DOLNOŒL¥SKIE;2016;2903710
153;DOLNOŒL¥SKIE;2017;2902547
154;DOLNOŒL¥SKIE;2018;2901225
155;DOLNOŒL¥SKIE;2019;2900163
156;DOLNOŒL¥SKIE;2020;2891321
157;OPOLSKIE;1995;1093172
158;OPOLSKIE;1996;1092524
159;OPOLSKIE;1997;1091077
160;OPOLSKIE;1998;1089586
161;OPOLSKIE;1999;1074205
162;OPOLSKIE;2000;1070598
163;OPOLSKIE;2001;1066438
164;OPOLSKIE;2002;1061009
165;OPOLSKIE;2003;1055667
166;OPOLSKIE;2004;1051531
167;OPOLSKIE;2005;1047407
168;OPOLSKIE;2006;1041941
169;OPOLSKIE;2007;1037088
170;OPOLSKIE;2008;1033040
171;OPOLSKIE;2009;1031097
172;OPOLSKIE;2010;1017241
173;OPOLSKIE;2011;1013950
174;OPOLSKIE;2012;1010203
175;OPOLSKIE;2013;1004416
176;OPOLSKIE;2014;1000858
177;OPOLSKIE;2015;996011
178;OPOLSKIE;2016;993036
179;OPOLSKIE;2017;990069
180;OPOLSKIE;2018;986506
181;OPOLSKIE;2019;982626
182;OPOLSKIE;2020;976774
183;KUJAWSKO-POMORSKIE;1995;2092977
184;KUJAWSKO-POMORSKIE;1996;2095819
185;KUJAWSKO-POMORSKIE;1997;2098018
186;KUJAWSKO-POMORSKIE;1998;2100106
187;KUJAWSKO-POMORSKIE;1999;2068864
188;KUJAWSKO-POMORSKIE;2000;2067817
189;KUJAWSKO-POMORSKIE;2001;2069747
190;KUJAWSKO-POMORSKIE;2002;2069166
191;KUJAWSKO-POMORSKIE;2003;2068142
192;KUJAWSKO-POMORSKIE;2004;2068258
193;KUJAWSKO-POMORSKIE;2005;2068253
194;KUJAWSKO-POMORSKIE;2006;2066371
195;KUJAWSKO-POMORSKIE;2007;2066136
196;KUJAWSKO-POMORSKIE;2008;2067918
197;KUJAWSKO-POMORSKIE;2009;2069083
198;KUJAWSKO-POMORSKIE;2010;2098711
199;KUJAWSKO-POMORSKIE;2011;2098370
200;KUJAWSKO-POMORSKIE;2012;2096404
201;KUJAWSKO-POMORSKIE;2013;2092564
202;KUJAWSKO-POMORSKIE;2014;2089992
203;KUJAWSKO-POMORSKIE;2015;2086210
204;KUJAWSKO-POMORSKIE;2016;2083927
205;KUJAWSKO-POMORSKIE;2017;2082944
206;KUJAWSKO-POMORSKIE;2018;2077775
207;KUJAWSKO-POMORSKIE;2019;2072373
208;KUJAWSKO-POMORSKIE;2020;2061942
209;POMORSKIE;1995;2165684
210;POMORSKIE;1996;2172540
211;POMORSKIE;1997;2179104
212;POMORSKIE;1998;2185673
213;POMORSKIE;1999;2166230
214;POMORSKIE;2000;2172284
215;POMORSKIE;2001;2178337
216;POMORSKIE;2002;2183636
217;POMORSKIE;2003;2188918
