id;area;year;average_1_sq_meter
1;MA£OPOLSKIE;2010;6078
2;MA£OPOLSKIE;2011;6150
3;MA£OPOLSKIE;2012;5872
4;MA£OPOLSKIE;2013;5604
5;MA£OPOLSKIE;2014;5934
6;MA£OPOLSKIE;2015;5966
7;MA£OPOLSKIE;2016;5965
8;MA£OPOLSKIE;2017;6067
9;MA£OPOLSKIE;2018;6590
10;MA£OPOLSKIE;2019;7176
11;MA£OPOLSKIE;2020;8106
12;ŒL¥SKIE;2010;2714
13;ŒL¥SKIE;2011;2767
14;ŒL¥SKIE;2012;2622
15;ŒL¥SKIE;2013;2548
16;ŒL¥SKIE;2014;2514
17;ŒL¥SKIE;2015;2594
18;ŒL¥SKIE;2016;2562
19;ŒL¥SKIE;2017;2743
20;ŒL¥SKIE;2018;2951
21;ŒL¥SKIE;2019;3382
22;ŒL¥SKIE;2020;3919
23;LUBUSKIE;2010;2518
24;LUBUSKIE;2011;2673
25;LUBUSKIE;2012;2564
26;LUBUSKIE;2013;2470
27;LUBUSKIE;2014;2475
28;LUBUSKIE;2015;2593
29;LUBUSKIE;2016;2717
30;LUBUSKIE;2017;2810
31;LUBUSKIE;2018;3131
32;LUBUSKIE;2019;3484
33;LUBUSKIE;2020;4039
34;WIELKOPOLSKIE;2010;4621
35;WIELKOPOLSKIE;2011;4487
36;WIELKOPOLSKIE;2012;4378
37;WIELKOPOLSKIE;2013;4354
38;WIELKOPOLSKIE;2014;4510
39;WIELKOPOLSKIE;2015;4618
40;WIELKOPOLSKIE;2016;4629
41;WIELKOPOLSKIE;2017;4830
42;WIELKOPOLSKIE;2018;5055
43;WIELKOPOLSKIE;2019;4915
44;WIELKOPOLSKIE;2020;5349
45;ZACHODNIOPOMORSKIE;2010;4055
46;ZACHODNIOPOMORSKIE;2011;3930
47;ZACHODNIOPOMORSKIE;2012;3901
48;ZACHODNIOPOMORSKIE;2013;3854
49;ZACHODNIOPOMORSKIE;2014;4057
50;ZACHODNIOPOMORSKIE;2015;3761
51;ZACHODNIOPOMORSKIE;2016;3974
52;ZACHODNIOPOMORSKIE;2017;4168
53;ZACHODNIOPOMORSKIE;2018;5063
54;ZACHODNIOPOMORSKIE;2019;5337
55;ZACHODNIOPOMORSKIE;2020;6096
56;DOLNOŒL¥SKIE;2010;4127
57;DOLNOŒL¥SKIE;2011;4171
58;DOLNOŒL¥SKIE;2012;3889
59;DOLNOŒL¥SKIE;2013;4159
60;DOLNOŒL¥SKIE;2014;4133
61;DOLNOŒL¥SKIE;2015;4119
62;DOLNOŒL¥SKIE;2016;4326
63;DOLNOŒL¥SKIE;2017;4517
64;DOLNOŒL¥SKIE;2018;4666
65;DOLNOŒL¥SKIE;2019;4957
66;DOLNOŒL¥SKIE;2020;5130
67;OPOLSKIE;2010;3026
68;OPOLSKIE;2011;3102
69;OPOLSKIE;2012;3032
70;OPOLSKIE;2013;2896
71;OPOLSKIE;2014;2850
72;OPOLSKIE;2015;2732
73;OPOLSKIE;2016;2911
74;OPOLSKIE;2017;2772
75;OPOLSKIE;2018;3320
76;OPOLSKIE;2019;3578
77;OPOLSKIE;2020;4059
78;KUJAWSKO-POMORSKIE;2010;3181
79;KUJAWSKO-POMORSKIE;2011;3356
80;KUJAWSKO-POMORSKIE;2012;3272
81;KUJAWSKO-POMORSKIE;2013;3179
82;KUJAWSKO-POMORSKIE;2014;3165
83;KUJAWSKO-POMORSKIE;2015;3154
84;KUJAWSKO-POMORSKIE;2016;3339
85;KUJAWSKO-POMORSKIE;2017;3644
86;KUJAWSKO-POMORSKIE;2018;3883
87;KUJAWSKO-POMORSKIE;2019;4369
88;KUJAWSKO-POMORSKIE;2020;4897
