id;area;year;thefts
1;MA£OPOLSKIE;2002;70848
2;MA£OPOLSKIE;2003;89718
3;MA£OPOLSKIE;2004;82209
4;MA£OPOLSKIE;2005;68889
5;MA£OPOLSKIE;2006;58204
6;MA£OPOLSKIE;2007;48278
7;MA£OPOLSKIE;2008;44163
8;MA£OPOLSKIE;2009;47333
9;MA£OPOLSKIE;2010;50674
10;MA£OPOLSKIE;2011;55296
11;MA£OPOLSKIE;2012;50038
12;MA£OPOLSKIE;2013;45475
13;MA£OPOLSKIE;2014;38955
14;MA£OPOLSKIE;2015;34866
15;MA£OPOLSKIE;2016;31512
16;MA£OPOLSKIE;2017;32375
17;MA£OPOLSKIE;2018;28944
18;MA£OPOLSKIE;2019;37596
19;MA£OPOLSKIE;2020;25617
20;ŒL¥SKIE;2002;129336
21;ŒL¥SKIE;2003;136932
22;ŒL¥SKIE;2004;136367
23;ŒL¥SKIE;2005;126215
24;ŒL¥SKIE;2006;113230
25;ŒL¥SKIE;2007;99070
26;ŒL¥SKIE;2008;91633
27;ŒL¥SKIE;2009;93888
28;ŒL¥SKIE;2010;98361
29;ŒL¥SKIE;2011;99884
30;ŒL¥SKIE;2012;93454
31;ŒL¥SKIE;2013;87045
32;ŒL¥SKIE;2014;68679
33;ŒL¥SKIE;2015;64665
34;ŒL¥SKIE;2016;54983
35;ŒL¥SKIE;2017;55599
36;ŒL¥SKIE;2018;49986
37;ŒL¥SKIE;2019;52442
38;ŒL¥SKIE;2020;59225
39;LUBUSKIE;2002;23025
40;LUBUSKIE;2003;23841
41;LUBUSKIE;2004;21949
42;LUBUSKIE;2005;19781
43;LUBUSKIE;2006;19828
44;LUBUSKIE;2007;17615
45;LUBUSKIE;2008;17241
46;LUBUSKIE;2009;16262
47;LUBUSKIE;2010;17716
48;LUBUSKIE;2011;19106
49;LUBUSKIE;2012;18033
50;LUBUSKIE;2013;19327
51;LUBUSKIE;2014;14123
52;LUBUSKIE;2015;14001
53;LUBUSKIE;2016;11451
54;LUBUSKIE;2017;10002
55;LUBUSKIE;2018;11014
56;LUBUSKIE;2019;12168
57;LUBUSKIE;2020;10963
58;WIELKOPOLSKIE;2002;79579
59;WIELKOPOLSKIE;2003;76494
60;WIELKOPOLSKIE;2004;71416
61;WIELKOPOLSKIE;2005;63799
62;WIELKOPOLSKIE;2006;53438
63;WIELKOPOLSKIE;2007;46212
64;WIELKOPOLSKIE;2008;43527
65;WIELKOPOLSKIE;2009;45119
66;WIELKOPOLSKIE;2010;47529
67;WIELKOPOLSKIE;2011;48099
68;WIELKOPOLSKIE;2012;46014
69;WIELKOPOLSKIE;2013;47280
70;WIELKOPOLSKIE;2014;41278
71;WIELKOPOLSKIE;2015;37581
72;WIELKOPOLSKIE;2016;31393
73;WIELKOPOLSKIE;2017;27525
74;WIELKOPOLSKIE;2018;27299
75;WIELKOPOLSKIE;2019;28633
76;WIELKOPOLSKIE;2020;28088
77;ZACHODNIOPOMORSKIE;2002;47641
78;ZACHODNIOPOMORSKIE;2003;46131
79;ZACHODNIOPOMORSKIE;2004;44554
80;ZACHODNIOPOMORSKIE;2005;40992
81;ZACHODNIOPOMORSKIE;2006;34580
82;ZACHODNIOPOMORSKIE;2007;29723
83;ZACHODNIOPOMORSKIE;2008;27535
84;ZACHODNIOPOMORSKIE;2009;30558
85;ZACHODNIOPOMORSKIE;2010;31394
86;ZACHODNIOPOMORSKIE;2011;32239
87;ZACHODNIOPOMORSKIE;2012;29999
88;ZACHODNIOPOMORSKIE;2013;27593
89;ZACHODNIOPOMORSKIE;2014;23788
90;ZACHODNIOPOMORSKIE;2015;19893
91;ZACHODNIOPOMORSKIE;2016;18239
92;ZACHODNIOPOMORSKIE;2017;15508
93;ZACHODNIOPOMORSKIE;2018;16664
94;ZACHODNIOPOMORSKIE;2019;18525
95;ZACHODNIOPOMORSKIE;2020;17117
96;DOLNOŒL¥SKIE;2002;74462
97;DOLNOŒL¥SKIE;2003;78034
98;DOLNOŒL¥SKIE;2004;78696
99;DOLNOŒL¥SKIE;2005;70946
100;DOLNOŒL¥SKIE;2006;67122
101;DOLNOŒL¥SKIE;2007;66438
102;DOLNOŒL¥SKIE;2008;60660
103;DOLNOŒL¥SKIE;2009;60385
104;DOLNOŒL¥SKIE;2010;67110
105;DOLNOŒL¥SKIE;2011;65060
106;DOLNOŒL¥SKIE;2012;71480
107;DOLNOŒL¥SKIE;2013;65998
108;DOLNOŒL¥SKIE;2014;51180
109;DOLNOŒL¥SKIE;2015;49387
110;DOLNOŒL¥SKIE;2016;44721
111;DOLNOŒL¥SKIE;2017;42051
112;DOLNOŒL¥SKIE;2018;40766
113;DOLNOŒL¥SKIE;2019;42975
114;DOLNOŒL¥SKIE;2020;42370
115;OPOLSKIE;2002;21922
116;OPOLSKIE;2003;22355
117;OPOLSKIE;2004;20581
118;OPOLSKIE;2005;18781
119;OPOLSKIE;2006;17035
120;OPOLSKIE;2007;16289
121;OPOLSKIE;2008;14757
122;OPOLSKIE;2009;13896
123;OPOLSKIE;2010;15924
124;OPOLSKIE;2011;16039
125;OPOLSKIE;2012;15842
126;OPOLSKIE;2013;14510
127;OPOLSKIE;2014;12457
128;OPOLSKIE;2015;10696
129;OPOLSKIE;2016;9825
130;OPOLSKIE;2017;8759
131;OPOLSKIE;2018;7900
132;OPOLSKIE;2019;7731
133;OPOLSKIE;2020;7320
134;KUJAWSKO-POMORSKIE;2002;51489
135;KUJAWSKO-POMORSKIE;2003;55630
136;KUJAWSKO-POMORSKIE;2004;51494
137;KUJAWSKO-POMORSKIE;2005;46340
138;KUJAWSKO-POMORSKIE;2006;39629
139;KUJAWSKO-POMORSKIE;2007;35864
140;KUJAWSKO-POMORSKIE;2008;32554
141;KUJAWSKO-POMORSKIE;2009;33400
142;KUJAWSKO-POMORSKIE;2010;31812
143;KUJAWSKO-POMORSKIE;2011;32117
